index,question,gold_v3,system_answer,status,archetype,difficulty,reason,confidence
0,白峰信用リスク評価の提案書old.pptxから提案書.pptxへの更新内容のうち、案件遂行に関連する実質的な変更を挙げてください。,提案書スライド6『4. 分析アプローチ 全体像』に、4.1データ理解・品質確認〜4.5ガバナンス・監査対応の各フェーズの作業内容が追記された,わかりません,ABSTAIN,document_extract,中（システム棄権）,調査AGと検証AGが不一致(調査AGのみが該当なし(棄権) — 片方が値を主張し他方が棄権) → 決着不能: 第3判定「分析アプローチの全体像が5段階（データ理解・品質確認、前処理方針策定、モデル比較、リスクセグメンテーション、ガバナンス・監査対応）に具体化された点、および費用見積の支払内訳が着手金40%・検収金60%からそれぞれ50%に変更された点。」がどちらの候補とも不一致 — 棄権,0.00
1,恒一会 かえで総合病院の最終報告書old版と最新版を比較したとき、案件遂行に関連する実質的な変更を挙げてください。,最終報告スライド7の、中間段階と最終モデルの性能比較表（AUC-ROC/F1-macro/Accuracyの中間実測値と最終値）を削除し、改善幅のみを示す1行要約に置換した,わかりません,ABSTAIN,version_diff,高（システム棄権）,調査AGと検証AGが不一致(調査AGのみが該当なし(棄権) — 片方が値を主張し他方が棄権) → 決着不能: 第3判定「業務提言の詳細（スライド10）において、閾値運用の目標が変更された。旧版では「Recall ≧ 0.85を維持」とされていたが、最新版では「Recall ≧ 0.85を維持しつつ、False Positive増加に伴う追加検査コストを許容範囲内に抑制する」という、より具体的でコストを考慮した目標設定に修正されている。」がどちらの候補とも不一致 — 棄権,0.00
2,青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、オレンジにハイライトされている行のタスク名をすべて答えてください。,プロジェクトキックオフ実施、中間報告会実施、最終報告会実施,a2,WRONG,highlight_set,高（システム過信誤り）,調査AGと検証AGが不一致(検証AGのみが該当なし(棄権) — 片方が値を主張し他方が棄権) → 第3判定が調査AGを支持(列挙14件が集合一致),0.80
3,恒一会 かえで総合病院の契約書において、太字で記載されている箇所のうち、日付以外のものをすべて抽出してください。,"time_and_materials、実績工数に基づき、案件完了後に最終成果物の検収を経て一括精算する。、30分単位、25,000円／時間",a3,MATCH,document_extract,中（システム正答）,調査AGと検証AGが一致 — 採用(列挙7件が集合一致),1.00
4,蒼泉会 ひがし丘総合病院の01_eda.ipynbを確認して、目的変数と相関が最も高い数値特徴量を教えてください。,bmi,a4,WRONG,derived_calculation,高（システム過信誤り）,調査AGと検証AGが一致 — 採用(正規化テキストが一致),1.00
5,青潮モビリティサービスの最終報告にて最良モデルとしているモデルのパラメータであるmax_depthはいくらに設定されていますか。,6,a5,MATCH,derived_calculation,高（システム正答）,調査AGと検証AGが一致 — 採用(数値一致(丸め許容): 6 ≈ 6),1.00
6,蒼泉会 ひがし丘総合病院案件において、提案時の税込み見込み金額と最終請求金額の差額はいくらですか。,0円,a6,MATCH,derived_calculation,高（システム正答）,調査AGと検証AGが不一致(検証AGのみが該当なし(棄権) — 片方が値を主張し他方が棄権) → 第3判定が調査AGを支持(数値一致(丸め許容): 0 ≈ 0),1.00
7,青潮モビリティサービスの基礎分析.pptxにおいて、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,hr=8、weekday=2で抽出されたデータに対する最大 / temp,わかりません,ABSTAIN,document_extract,中（システム棄権）,調査AGと検証AGが一致 — 採用(両者とも該当なし(棄権)で一致),0.00
8,東都人材プラットフォームのデータサイエンティスト調査資料において、米国平均給与における機械学習（ML）エンジニアとデータエンジニアの差はいくらですか。,"14,744ドル",わかりません,ABSTAIN,derived_calculation,高（システム棄権）,調査AGと検証AGが一致 — 採用(両者とも該当なし(棄権)で一致),0.00
9,青葉与信マネジメントの最終報告資料の最新版になる際に修正されたもののうち、案件遂行に関連する変更を挙げてください。,該当なし,わかりません,ABSTAIN,document_extract,中（システム棄権）,"調査AGと検証AGが不一致(列挙不一致 — 調査AG欠落: *   **変数利用方針の確定**: interest_rate / grade の審査時点での利用可否を確定し, *   **目的変数の公式文書化と配布**: 解析解釈の基準統一のため, **クイックウィン(短期:直ちに実施推奨)**, loan_statusの定義を明記し, プロジェクトの成果を踏まえ, リーケージ防止と運用, 今後の業務遂行において実施すべき事項として最終的に確定・提言されたものです。, 全成果物で参照できるようにする。, 案件遂行に関連する変更として以下の点が挙げられます。これらは, 青葉与信マネジメントの最終報告資料の最新版において / 調査AG余剰: 「クイックウィン(短期)」, 「データ改善・組織体制(中〜長期)」の3つのスライドに分けられました。この変更により, 「モデル運用・ガバナンス(中期)」, 従来1枚にまとめられていた業務提言が, 旧版から業務提言の構成が変更されています。具体的には, 案件遂行における各施策の優先順位とタイムラインが明確化されました。, 青葉与信マネジメントの最終報告資料の最新版では) → 決着不能: 第3判定「実施方法のワークフロー図において、モデリング(Step4)と報告・納品(Step5)の順序が入れ替わっていた点が修正された。」がどちらの候補とも不一致 — 棄権",0.00
